SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Outdegree,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
6611,3.35052785,9.12E-05,0.29846043,0,4,11,4,2,FALSE,دشمنت,396,4,0,2,0,0.86819241,FALSE,0,دشمنت,85235,0.25111252
6612,5.68715132,7.64E-05,0.17583496,0,3,14,3,2,FALSE,مباز,181,3,0,1,1,0.85438859,FALSE,0,مباز,89393,0.5
6613,3.51532057,3.79E-06,0.28446908,0.03333333,6,11,6,3,FALSE,بازیچه,100.5,6,0,3,0,0.85648025,FALSE,0,بازیچه,7766,0.2016835
6614,3.14891426,0,0.31756978,0.66666667,4,11,4,2,FALSE,مجازی,865.25,4,0,2,0,0.87705282,FALSE,0,مجازی,0,0.31034792
6615,3.36357394,0,0.29730281,1,2,11,2,1,FALSE,نیندیشد,863,2,0,1,0,0.86893586,FALSE,0,نیندیشد,0,0.52493917
6616,3.21680542,3.60E-07,0.31086742,0.5,4,11,4,2,FALSE,متاب,663.75,4,0,2,0,0.87303595,FALSE,0,متاب,678,0.30729167
6617,4.08376963,4.40E-07,0.24487179,0,2,11,2,1,FALSE,مشکلات,557.5,2,0,1,0,0.86258322,FALSE,0,مشکلات,877,0.50590909
6618,3.42511372,4.90E-07,0.29196111,0.3,5,11,5,3,FALSE,نواز,172.4,5,0,2,0,0.86129605,FALSE,0,نواز,1841,0.22219355
6619,3.47910051,2.75E-06,0.28743062,0.16666667,4,11,4,2,FALSE,سرایی,832.5,4,0,2,0,0.87823458,FALSE,0,سرایی,2430,0.27797261
6620,3.32357738,4.01E-05,0.30088061,0.17424242,14,11,14,7,FALSE,منور,369.6666667,14,0,7,1,0.87856192,FALSE,0,منور,129418,0.12474679
6621,3.15895631,7.69E-06,0.31656025,0.41666667,4,11,4,2,FALSE,سپاس,1222.75,4,0,2,0,0.88453174,FALSE,0,سپاس,21703,0.31216492
6622,3.38975195,3.08E-06,0.29500684,0.42857143,8,11,8,4,FALSE,سرمه,517,8,0,4,0,0.87816245,FALSE,0,سرمه,10190,0.17920277
6623,3.55488799,1.60E-07,0.28130282,0.16666667,3,12,3,1,FALSE,آیم,92.66666667,3,0,2,0,0.8510486,FALSE,0,آیم,196,0.36933333
6624,3.04119818,4.89E-06,0.32881777,0.58333333,6,11,6,3,FALSE,نشیب,1325.25,6,0,3,2,0.88453174,FALSE,0,نشیب,179020,0.33945953
6625,3.91116642,7.00E-08,0.2556782,0,2,11,2,1,FALSE,سپرند,35,2,0,1,0,0.83870395,FALSE,0,سپرند,367,0.52307692
6626,4.08376244,0,0.24487223,0,1,11,1,0,FALSE,روندگان,27,1,0,1,0,0.81501332,FALSE,0,روندگان,0,0
6627,0,0,0,0,1,0,1,1,FALSE,دمساز,97,1,0,0,0,0.84331447,FALSE,0,دمساز,0,0
6628,3.6165136,6.00E-08,0.2765094,0,2,12,2,1,FALSE,خویشت,92.5,2,0,1,0,0.84879605,FALSE,0,خویشت,241,0.54790419
6629,3.11303751,0,0.32122967,1,2,11,2,1,FALSE,مجلسم,1369,2,0,1,0,0.87615402,FALSE,0,مجلسم,0,0.50778932
6630,3.41798987,1.98E-06,0.29256962,0.5952381,9,11,9,4,FALSE,آراسته,881.5714286,9,0,5,1,0.88653462,FALSE,0,آراسته,22507,0.20920062
6631,3.91726032,6.87E-05,0.25528046,0.4,5,12,5,3,FALSE,کنارم,1142.6,5,0,2,0,0.88592987,FALSE,0,کنارم,69923,0.27527711
6632,2.99948502,1.01E-04,0.33339056,0.28888889,11,11,11,5,FALSE,زرد,611.2,11,0,6,1,0.88621283,FALSE,0,زرد,227148,0.14670989
